tid,lang,score,text,label,Gender
twv10002,en,0,@gladyswanga @A_S_Nassir Gom home,trolling,women
twv10004,en,0,@gladyswanga @AzimioTv @TheODMparty Wapi Joho &amp; Junet hapa they hv been missing since Baba didnt win,trolling,women
twv10006,en,0,@gladyswanga @Lesuuda @A_S_Nassir What about kakamega<U+0001F602><U+0001F525><U+0001F525><U+0001F525><U+0001F525>,neutral,women
twv10008,en,-0.5,@gladyswanga @Lesuuda @A_S_Nassir Odm will be shocked aki<U+0001F602><U+0001F602><U+0001F602>,trolling,women
twv10009,es,0,@gladyswanga @AzimioTv @TheODMparty agnes zani alienda wapi,neutral,women
twv10010,en,0,@gladyswanga @Lesuuda @A_S_Nassir That's it #Genowa,neutral,women
twv10014,tl,0,"@gladyswanga @TeamHassanJoho @Lesuuda @A_S_Nassir Musiende kulala uko na ballots zinasambazwa uko,We shall not take anything from you isipokua ushindi.
Muende kuanuka rasa kwa Beach alafu kuharibike ndio mtajua sasa tumekataa ujinga",sexual violence,women
twv10016,en,-1,@gladyswanga @Lesuuda @A_S_Nassir Thieves,insults and Hate speech,women
twv10018,und,0,@gladyswanga @Lesuuda @A_S_Nassir #HassanOmar001,trolling,women
twv10020,in,-0.5,"@gladyswanga @Lesuuda @A_S_Nassir Halafu tusikie tena ati Chebukati ooh, Venezuelans ooh,  Kiems kits ooh,  sijui forms 39, 34 blah,  blah, blah. Baki huko Mombasa. Mkishindwa, nyamazeni ama muingie baharini",insults and Hate speech,women
twv10025,und,0,@gladyswanga Hi,neutral,women
twv10027,tl,0,@gladyswanga @A_S_Nassir Hi madam,neutral,women
twv10028,en,-0.75,@gladyswanga @Lesuuda @A_S_Nassir The problem with ODM is that they always count chicks before they are hatched <U+0001F923>,trolling,women
twv10029,tl,0,@gladyswanga @AzimioTv @TheODMparty Kaeni macho.,satire,women
twv10030,en,-0.8,"@gladyswanga @A_S_Nassir A-s-nassir withdraw himself from Mombasa governor seat.
Come in Omar Salai",disinformation,women
twv10033,in,0,@gladyswanga @Lesuuda @A_S_Nassir Kesho asubui kura kwa sarai,trolling,women
twv10036,en,0,@gladyswanga @Lesuuda @A_S_Nassir thats my governor  @Gladyswanga,neutral,women
twv10037,en,0,@gladyswanga @AzimioTv @TheODMparty @MbenekaMaria is that you or look alike mama Laikipia?,neutral,women
twv10038,en,0,"@gladyswanga @AzimioTv @TheODMparty With God everything is possible, go go",positive,women
twv10043,in,0,@gladyswanga @AzimioTv @TheODMparty Hassan Omar sarai tosha.,neutral,women
twv10046,en,-0.25,@gladyswanga @AzimioTv @TheODMparty Don’t let us down tomorrow...that team is more than enough,neutral,women
twv10047,es,0,@gladyswanga @AzimioTv @TheODMparty Wajaluo mumeleta fujo Mombasa sio.,insults and Hate speech,women
twv10048,en,0,"@gladyswanga @AzimioTv @TheODMparty Where is Junet and Joho,",neutral,women
twv10051,tl,0,@gladyswanga @AzimioTv @TheODMparty Kura laminate ilindwe.,neutral,women
twv10052,en,-0.25,@gladyswanga @MarthaKarua @A_S_Nassir YOU WILL FALL..,trolling,women
twv10053,en,0,@gladyswanga @AzimioTv @TheODMparty This two Governors should come from Azimio. Too much at stake here.,trolling,women
twv10054,lv,0,@gladyswanga @Lesuuda @A_S_Nassir Nassir tosha,neutral,women
twv10055,en,0,@gladyswanga @AzimioTv @TheODMparty This two Governors should come from Azimio. Too much at stake here.,trolling,women
twv10059,en,0,"@gladyswanga @A_S_Nassir Wapi, he's going no where.",trolling,women
twv10064,en,-1.35,"@gladyswanga Cham county kabisa, afteral Homabay is south nyanza were people suspended use of brain, Awiti ate till he became blind",insults and Hate speech,women
twv10065,en,-2,"@gladyswanga Rape that county mercilessly mum, south nyanza people are still homosapiens Awiti ate without even a level 4 hospital. The morgue is pathetic extend your tentacles to siaya MCA 's med kabisa Awasi Nyakunguru your brother is eating with a big",sexual violence,women
twv10066,en,-0.25,"@gladyswanga @AzimioTv @TheODMparty Madam Nyakano please loot that county properly, after 2022 nobody will follow such blindly. Tumechoka na poverty in Nyanza pthooo",disinformation,women
twv10068,in,0,@gladyswanga @Lesuuda @A_S_Nassir Ket tekreni Omabei nyako.,neutral,women
twv10070,in,0,"@gladyswanga @AzimioTv @TheODMparty We are set for tomorrow mheshimiwa,kura Kwa Abdulswamad Shariff",neutral,women
twv10071,en,-0.75,"@gladyswanga @AzimioTv @TheODMparty You have done the same to Raila, shame",insults and Hate speech,women
twv10073,in,0,@gladyswanga @AzimioTv @TheODMparty Nyar Wang'waya marwa<U+0001F535><U+0001F499><U+0001F499>,neutral,women
twv10077,pl,0,@gladyswanga GENOWA EN DONGRUOK,neutral,women
twv10079,en,0,@gladyswanga @Lesuuda @A_S_Nassir Swamad 001,neutral,women
twv10080,cs,0,"@gladyswanga @Lesuuda @A_S_Nassir Asimio na ii politics yenu.
All of you bondo. https://t.co/RsWsQCKDHV",trolling,women
twv10081,en,-1.5,@gladyswanga @A_S_Nassir Party of poverty and chaos https://t.co/5wSC7gIwbj,insults and Hate speech,women
twv10082,und,0,@gladyswanga @AzimioTv @TheODMparty https://t.co/a06DJnyr6U,neutral,women
twv10084,en,-1.2,"@gladyswanga This is my pro bono advice, this county needs a complete overhaul. From removing the alleged ghost workers to putting structures that blocks pilferage of county generated finances to embarking on rehabilitating the delapidated health sector a",positive,women
twv10087,en,0,@gladyswanga @AzimioTv @TheODMparty It seems all leaders in Azimio are in Mombasa. Which people are taking charge in Kakamega?,neutral,women
twv10088,en,0,@gladyswanga @AzimioTv @TheODMparty Nyanya @mamangilu can’t hold her lips,Ageism,women
twv10090,und,0,@gladyswanga @AzimioTv @TheODMparty 0726886896 https://t.co/QjRv5Hx3sG,neutral,women
twv10092,en,0,"@gladyswanga @A_S_Nassir Clarks wallabies
0726886896 https://t.co/CVj0zxJyLI",neutral,women
twv10093,und,0,@gladyswanga 0726886896 https://t.co/gf6mspERJU,neutral,women
twv10094,und,0,@gladyswanga @AzimioTv @TheODMparty 0726886896 https://t.co/QjRv5Hx3sG,neutral,women
twv10096,tl,0,@gladyswanga @Lesuuda @A_S_Nassir Swamad governer mombasa,neutral,women
twv10098,et,0,@gladyswanga @Lesuuda @A_S_Nassir Abulswamad home,trolling,women
twv10099,en,-0.25,@gladyswanga @Lesuuda @A_S_Nassir Why is Escobar missing in action..,insults and Hate speech,women
twv10100,en,-0.25,@gladyswanga @Lesuuda @A_S_Nassir Guard the votes. You all should be there in every step of the process. Agents in all of the polling stations. Hatutaki kulia round 2.,satire,women
twv10101,in,0,@gladyswanga @Lesuuda @A_S_Nassir Fanyia watu wa homabay kazi. Siasa imeisha,trolling,women
twv10102,en,-0.5,@gladyswanga How much did you four hours swearing in cost?,trolling,women
twv10104,en,0,@gladyswanga Ndio mama they should not tell them it is your office that will initiate the recruitment process after the assumption of the office,neutral,women
twv10107,et,0,@gladyswanga @Lesuuda @A_S_Nassir Kakamega too https://t.co/FU2xkVNXCx,neutral,women
twv10110,en,-1,"@gladyswanga @Lesuuda @A_S_Nassir Wherever there is Wanga and Fatuma there is disgrace, Omar ndiye atakuwa governor #Inawezekana",trolling,women
twv10112,et,0,@gladyswanga @Lesuuda @A_S_Nassir Ako testing mnaeda naye home kesho https://t.co/ma39eoieuf,trolling,women
twv10113,en,0,@gladyswanga @Lesuuda @A_S_Nassir Another group @edwinsifuna @aladwa to camp at Kakamega,trolling,women
twv10114,in,0,"@gladyswanga @Lesuuda @A_S_Nassir Ni mida ya wanga
#Inawezekana",neutral,women
twv10115,tr,0,@gladyswanga Safsana Mama Homabay,neutral,women
twv10116,en,0,@gladyswanga @A_S_Nassir A_S_Nassir,neutral,women
twv10117,pl,0,"@gladyswanga @Lesuuda @A_S_Nassir kama mwanamke uwacje vurugu saana,,,chapa kazi mamaa",sexual violence,women
twv10119,en,0,@gladyswanga @Lesuuda @A_S_Nassir Mombasa is locked. ODM zone,neutral,women
twv10121,en,-1.25,"@gladyswanga @Lesuuda @A_S_Nassir Just a matter of time, ODM is going to see bad things tomorrow!, Pablo messed up everything.",trolling,women
twv10122,tl,0,@gladyswanga @Lesuuda @A_S_Nassir Yesu tiyo to waling’ aling’a,positive,women
twv10123,tl,0,@gladyswanga @Lesuuda @A_S_Nassir Tushajipanga nassir mpango mzima,neutral,women
twv10125,tl,0,@gladyswanga @Lesuuda @A_S_Nassir Msiseme Tena mmeibiwa.. juu Niko Mombasa na Kila mtu anaongea vingine na muongeavyo.... Kura inaenda Kwa   Sarai,trolling,women
twv10126,en,0,"@gladyswanga @Lesuuda @A_S_Nassir Even for Raila Odinga it was just a matter of time, now it’s a matter of 5 years<U+0001F60E>",trolling,women
twv10127,tl,-0.5,@gladyswanga @Lesuuda @A_S_Nassir Mombasa mtashinda..But forget Kakamiga..Me thinks so..,trolling,women
twv10128,tl,0,@gladyswanga @lillian_owinga @RailaOdinga @MarthaKarua Tutaona..,satire,women
twv10130,und,0,@gladyswanga @Lesuuda @A_S_Nassir Kk,trolling,women
twv10131,en,-0.75,"@gladyswanga @A_S_Nassir @gladyswanga @ A_S_ Nassir Dont cower, don't be afraid, you are the Governor of Mombasa county just as we voted in Mama Gladys.",neutral,women
twv10133,in,0,@gladyswanga @A_S_Nassir Wewe kura yako ni ya homabay so huku sisi ndio tutamua gorvenor bi nani,trolling,women
twv10136,en,0,@gladyswanga This is inorder Her excellency the Governor. KAZI kwako... Safisha ....safisha ....... ineptitude has no Room in your Government,neutral,women
twv10139,tl,0,"@gladyswanga @A_S_Nassir Ayie kodi GENOWA, Lakini luok chilo te maiyudo kanyo",neutral,women
twv10140,pl,0,@gladyswanga GENOWA,neutral,women
twv10141,en,-0.1,@gladyswanga The old faces of Awiti's administration shouldn't be seen hoovering around that office .....THEY COMPLETELY FAILED THE HOMABAY PEOPLE.,Body shaming,women
